       m/z	       S/N	Quality Fac.	      Res.	   Intens.	      Area
    2409.5	         3	       456	      8840	    136692	     35717
    2410.1	        12	     45305	     14644	    259431	     95543
    2439.1	         3	      1201	     15438	    134062	     19271
    2453.6	         3	       605	      8460	    132469	     34727
    2454.1	        11	     43900	     16043	    237469	     73193
    2466.6	         2	       235	      8904	    126562	     27919
    2468.1	         7	     23454	     16168	    184107	     47009
    2482.1	         4	      1905	     14095	    146720	     33696
    2482.6	         2	       224	      9833	    124750	     25791
    2494.1	         2	       833	     15962	    124772	     14426
    2498.1	         2	       940	     15978	    123897	     13951
    2510.1	         2	       289	     14792	    121501	     14481
    2526.1	         8	     26564	     14929	    186081	     56957
    2540.2	         3	       670	     15792	    128070	     17320
    2554.1	         2	       365	     14786	    123214	     18710
    2640.2	         3	      1442	     14306	    120747	     20440
    2654.2	         3	      1022	     15634	    122460	     17271
    2670.2	         2	       660	     13760	    116594	     18672
    2686.2	        17	     49975	     14034	    254834	    115763
    2694.2	         2	       198	     15254	    112334	     14420
    2699.7	         2	       479	     10026	    114335	     21190
    2700.2	         3	      1928	     14162	    125610	     25657
    2714.7	         2	       614	     10429	    114553	     20864
    2715.2	         3	      2344	     14288	    122366	     23112
    2729.2	         2	       237	     14347	    111421	     15012
    2774.3	         2	       234	     13582	    107139	     14709
    2845.8	         2	       701	     10891	    106887	     18852
    2846.3	         6	      3645	     12569	    135253	     45714
    2962.3	         4	       788	     11263	    114473	     33218
    3050.4	         6	      1440	     12486	    118173	     37821
    3064.4	         4	       593	     13193	    105743	     23391
    3078.4	         3	       188	     12223	     99848	     18615
    3122.4	        10	      2952	     11389	    138077	     66502
    3558.6	         4	      1743	      6400	     86029	     38034
